City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Lompoc,34.6391,-120.4579,54.12,79,0,4.61,US,1644074478
Kulhudhuffushi,6.6221,73.07,80.87,70,25,11.41,MV,1644074491
Port Alfred,-33.5906,26.891,70.05,83,98,23.62,ZA,1644074542
Ati,13.2154,18.3353,85.06,10,7,12.84,TD,1644074492
Mount Gambier,-37.8333,140.7667,61.75,67,94,8.03,AU,1644074543
Tuktoyaktuk,69.4541,-133.0374,-29.2,68,0,8.05,CA,1644074543
Arraial do Cabo,-22.9661,-42.0278,89.56,62,0,12.66,BR,1644074493
Atuona,-9.8,-139.0333,78.22,77,8,19.69,PF,1644074229
Kapaa,22.0752,-159.319,66.11,59,40,6.91,US,1644074494
Bluff,-46.6,168.3333,50.09,76,26,5.12,NZ,1644074378
Mar del Plata,-38.0023,-57.5575,66.22,88,100,13.0,AR,1644074271
Tshane,-24.0196,21.8684,87.66,31,92,10.0,BW,1644074544
Olinda,-8.0089,-34.8553,87.53,58,40,8.05,BR,1644074495
Mataura,-46.1927,168.8643,41.11,98,18,1.23,NZ,1644074123
Province of Brindisi,40.5833,17.6667,59.99,73,70,8.12,IT,1644074545
Nizhniy Tsasuchey,50.5167,115.1333,-1.26,92,48,7.49,RU,1644074545
Manzanillo,20.3433,-77.1167,81.18,42,3,13.35,CU,1644074545
Puerto Ayora,-0.7393,-90.3518,80.56,92,46,4.0,EC,1644074473
Zabid,14.1951,43.3152,79.54,63,83,14.85,YE,1644074546
Cidreira,-30.1811,-50.2056,83.91,67,93,8.66,BR,1644074546
Ilulissat,69.2167,-51.1,6.82,51,75,13.8,GL,1644074546
Rikitea,-23.1203,-134.9692,78.37,73,22,11.07,PF,1644074547
Hermanus,-34.4187,19.2345,91.9,50,38,22.95,ZA,1644074498
Karratha,-20.7377,116.8463,85.3,73,76,4.85,AU,1644074535
Hithadhoo,-0.6,73.0833,82.62,74,100,12.41,MV,1644074547
Rio Grande,-32.035,-52.0986,82.51,70,99,10.38,BR,1644074548
Busselton,-33.65,115.3333,71.04,78,0,5.68,AU,1644074294
Vaini,-21.2,-175.2,75.36,100,100,8.05,TO,1644074548
Te Anau,-45.4167,167.7167,40.89,94,15,2.53,NZ,1644074549
Kaitangata,-46.2817,169.8464,51.93,82,49,4.45,NZ,1644074549
